campus_id,campus_name,building_id,year,month,total_kw_consumed,total_gas_consumed,total_water_consumed,scope_1_emissions,scope_2_emissions,total_emissions,category,gross_floor_area,carbon_intensity
1,Bundoora,6,2018.0,12.0,1450.95,1.39,0.0,0.01,0.58,0.59,other,6210.75,9e-05
1,Bundoora,6,2019.0,1.0,2163.88,1.24,0.0,0.01,0.87,0.87,other,6210.75,0.00014
1,Bundoora,6,2019.0,2.0,1542.57,1.78,0.0,0.01,0.62,0.63,other,6210.75,0.0001
1,Bundoora,6,2019.0,3.0,1566.35,2.13,0.0,0.01,0.63,0.64,other,6210.75,0.0001
1,Bundoora,6,2019.0,4.0,1048.15,2.29,0.0,0.01,0.42,0.43,other,6210.75,7e-05
1,Bundoora,6,2019.0,5.0,880.18,2.71,0.0,0.01,0.35,0.37,other,6210.75,6e-05
1,Bundoora,6,2019.0,6.0,1245.39,2.81,0.0,0.01,0.5,0.51,other,6210.75,8e-05
1,Bundoora,6,2019.0,7.0,3523.95,2.95,0.0,0.02,1.41,1.43,other,6210.75,0.00023
1,Bundoora,6,2019.0,8.0,2977.11,2.98,0.0,0.02,1.19,1.21,other,6210.75,0.00019
1,Bundoora,6,2019.0,9.0,1457.11,2.64,0.0,0.01,0.58,0.6,other,6210.75,0.0001
1,Bundoora,6,2019.0,10.0,1075.27,2.43,0.0,0.01,0.43,0.44,other,6210.75,7e-05
1,Bundoora,6,2019.0,11.0,1014.62,2.08,0.0,0.01,0.41,0.42,other,6210.75,7e-05
1,Bundoora,6,2019.0,12.0,1012.28,1.15,0.0,0.01,0.4,0.41,other,6210.75,7e-05
1,Bundoora,6,2020.0,1.0,1047.51,0.0,0.0,0.0,0.42,0.42,other,6210.75,7e-05
1,Bundoora,6,2020.0,2.0,867.99,0.0,0.0,0.0,0.35,0.35,other,6210.75,6e-05
1,Bundoora,6,2020.0,3.0,815.25,0.0,0.0,0.0,0.33,0.33,other,6210.75,5e-05
1,Bundoora,6,2020.0,4.0,836.72,0.0,0.0,0.0,0.33,0.33,other,6210.75,5e-05
1,Bundoora,6,2020.0,5.0,1334.75,0.0,0.0,0.0,0.53,0.53,other,6210.75,9e-05
1,Bundoora,6,2020.0,6.0,1509.89,0.0,0.0,0.0,0.6,0.6,other,6210.75,0.0001
1,Bundoora,6,2020.0,7.0,940.01,0.0,0.0,0.0,0.38,0.38,other,6210.75,6e-05
1,Bundoora,6,2020.0,8.0,907.4,0.0,0.0,0.0,0.36,0.36,other,6210.75,6e-05
1,Bundoora,6,2020.0,9.0,804.64,0.0,0.0,0.0,0.32,0.32,other,6210.75,5e-05
1,Bundoora,6,2020.0,10.0,739.18,0.0,0.0,0.0,0.3,0.3,other,6210.75,5e-05
1,Bundoora,6,2020.0,11.0,789.64,0.0,0.0,0.0,0.32,0.32,other,6210.75,5e-05
1,Bundoora,6,2020.0,12.0,1200.5,0.0,0.0,0.0,0.48,0.48,other,6210.75,8e-05
1,Bundoora,6,2021.0,1.0,948.24,1.58,92.85,0.01,0.38,0.39,other,6210.75,6e-05
1,Bundoora,6,2021.0,2.0,828.7,1.89,94.69,0.01,0.33,0.34,other,6210.75,5e-05
1,Bundoora,6,2021.0,3.0,1067.82,2.0,94.4,0.01,0.43,0.44,other,6210.75,7e-05
